
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
195.0               .0872                 1.5688                .2672                  .0            195.0         .0                  3.0
280.0               .0819                 1.0096                .099                   .0            281.0         .0                  5.0
301.0               .0728                 1.0689                .0487                  .0            301.0         .0                  5.0
298.0               .0671                 1.383                 .0524                  .0            297.0         .0                  6.0
360.0               .0806                 1.0753                .0421                  .0            360.0         .0                  7.0
326.0               .1104                 .9799                 .0485                  .0            326.0         .0                  4.0
380.0               .0605                 1.0227                .042                   .0            380.0         .0                  7.0
342.0               .1023                 1.0479                .0457                  .0            342.0         .0                  6.0
303.0               .0493                 1.2668                .0391                  .0            304.0         .0                  5.0
242.0               .095                  1.9773                .0514                  .0            241.0         .0                  4.0
261.0               .0611                 1.9875                .0311                  .0            262.0         .0                  2.0
390.0               .059                  .9036                 .061                   .0            389.0         .0                  12.0
288.0               .0764                 .9378                 .0466                  .0            288.0         .0                  8.0
333.0               .036                  1.0566                .0458                  .0            333.0         .0                  5.0
333.0               .1171                 1.1489                .0461                  .0            333.0         .0                  6.0
250.0               .072                  1.0418                .0407                  .0            250.0         .0                  4.0
341.0               .0994                 1.0462                .0511                  .0            342.0         .0                  7.0
359.0               .1003                 1.0228                .046                   .0            358.0         .0                  6.0
310.0               .0836                 1.1248                .0475                  .0            311.0         .0                  3.0
354.0               .0648                 1.0735                .0346                  .0            354.0         .0                  9.0
380.0               .063                  1.0154                .0384                  .0            380.0         .0                  6.0
367.0               .0761                 1.047                 .0392                  .0            367.0         .0                  5.0
361.0               .0582                 1.0859                .0466                  .0            360.0         .0                  4.0
372.0               .0591                 1.0507                .0388                  .0            372.0         .0                  10.0
347.0               .121                  1.11                  .0429                  .0            347.0         .0                  7.0
352.0               .1105                 1.0526                .0369                  .0            353.0         .0                  5.0
361.0               .0829                 .9933                 .0415                  .0            361.0         .0                  8.0
361.0               .0691                 1.0405                .0434                  .0            361.0         .0                  8.0
361.0               .0803                 1.1017                .0374                  .0            360.0         .0                  4.0
350.0               .0769                 1.0768                .0368                  .0            351.0         .0                  6.0
367.0               .0681                 1.0689                .0355                  .0            366.0         .0                  5.0
340.0               .0733                 1.143                 .0404                  .0            341.0         .0                  9.0
349.0               .0573                 1.1806                .0375                  .0            348.0         .0                  6.0
343.0               .1137                 1.0845                .0389                  .0            343.0         .0                  7.0
391.0               .0587                 .9665                 .0407                  .0            392.0         .0                  8.0
356.0               .0646                 1.0157                .0317                  .0            355.0         .0                  13.0
345.0               .0751                 1.0849                .0555                  .0            346.0         .0                  6.0
375.0               .0691                 1.0092                .0355                  .0            375.0         .0                  8.0
382.0               .094                  1.0253                .0358                  .0            382.0         .0                  8.0
352.0               .1105                 1.0838                .049                   .0            352.0         .0                  10.0
336.0               .1068                 1.0519                .0422                  .0            336.0         .0                  8.0
382.0               .0628                 .9406                 .0423                  .0            382.0         .0                  3.0
349.0               .0775                 .9952                 .0623                  .0            348.0         .0                  6.0
353.0               .096                  .9891                 .0328                  .0            354.0         .0                  7.0
363.0               .135                  1.0614                .0387                  .0            362.0         .0                  8.0
395.0               .1086                 .9276                 .0519                  .0            396.0         .0                  8.0
351.0               .0881                 1.0548                .0407                  .0            351.0         .0                  7.0
361.0               .0859                 .9872                 .0364                  .0            360.0         .0                  6.0
351.0               .0997                 1.0793                .0412                  .0            351.0         .0                  5.0
381.0               .0682                 .978                  .0341                  .0            381.0         .0                  10.0
368.0               .0598                 1.0237                .0341                  .0            368.0         .0                  7.0
375.0               .0613                 1.0612                .0541                  .0            375.0         .0                  8.0
367.0               .1008                 1.0123                .0409                  .0            367.0         .0                  3.0
379.0               .0422                 1.0305                .0357                  .0            379.0         .0                  10.0
374.0               .0827                 1.0238                .0336                  .0            375.0         .0                  7.0
363.0               .0551                 1.0374                .0381                  .0            362.0         .0                  15.0
372.0               .0538                 1.0366                .0532                  .0            372.0         .0                  9.0
348.0               .1034                 1.0382                .028                   .0            348.0         .0                  13.0
380.0               .0761                 .9839                 .0367                  .0            381.0         .0                  10.0
354.0               .1525                 1.0623                .0426                  .0            353.0         .0                  7.0
2.0                 .0                    1.2967                .0395                  .0            2.0           .0                  .0
Server 0, get requests: 20762

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
208.0               .0718                 1.2742                .1645                  .0            209.0         .0                  7.0
282.0               .0638                 1.1778                .1063                  .0            281.0         .0                  2.0
329.0               .1182                 1.063                 .0533                  .0            330.0         .0                  3.0
314.0               .1206                 1.2118                .0466                  .0            314.0         .0                  6.0
380.0               .0604                 1.0144                .0505                  .0            380.0         .0                  5.0
329.0               .0912                 1.3408                .0506                  .0            328.0         .0                  11.0
378.0               .0873                 1.0248                .0384                  .0            378.0         .0                  9.0
380.0               .0945                 1.0789                .0541                  .0            381.0         .0                  9.0
330.0               .0939                 1.1844                .0435                  .0            329.0         .0                  6.0
309.0               .0939                 1.156                 .0447                  .0            309.0         .0                  11.0
315.0               .0794                 .9543                 .0506                  .0            315.0         .0                  7.0
393.0               .0891                 .9386                 .044                   .0            393.0         .0                  5.0
266.0               .0712                 1.8735                .0618                  .0            267.0         .0                  3.0
323.0               .0495                 1.4701                .0273                  .0            322.0         .0                  5.0
355.0               .0702                 1.1746                .0352                  .0            356.0         .0                  5.0
219.0               .0639                 2.7326                .0438                  .0            218.0         .0                  2.0
385.0               .0987                 1.0813                .036                   .0            385.0         .0                  4.0
347.0               .0778                 1.0123                .0395                  .0            347.0         .0                  1.0
320.0               .0687                 1.0418                .0394                  .0            320.0         .0                  7.0
365.0               .0685                 1.0167                .0375                  .0            365.0         .0                  2.0
384.0               .0885                 .9852                 .0455                  .0            384.0         .0                  8.0
383.0               .0703                 1.0389                .0372                  .0            384.0         .0                  3.0
373.0               .0695                 1.0633                .0414                  .0            373.0         .0                  8.0
384.0               .0961                 1.0348                .0724                  .0            384.0         .0                  10.0
341.0               .132                  1.1303                .0476                  .0            340.0         .0                  2.0
375.0               .096                  1.059                 .0373                  .0            375.0         .0                  7.0
367.0               .0652                 1.0104                .0413                  .0            368.0         .0                  6.0
362.0               .0744                 .9851                 .0487                  .0            362.0         .0                  8.0
346.0               .0663                 1.1293                .059                   .0            346.0         .0                  6.0
358.0               .0864                 1.0322                .0558                  .0            358.0         .0                  5.0
369.0               .0921                 1.0527                .0361                  .0            368.0         .0                  4.0
355.0               .0704                 1.1272                .0342                  .0            355.0         .0                  6.0
350.0               .1057                 1.0977                .0375                  .0            350.0         .0                  4.0
353.0               .0876                 1.0912                .0382                  .0            354.0         .0                  6.0
401.0               .0324                 .9256                 .0378                  .0            400.0         .0                  5.0
357.0               .0868                 1.0899                .0502                  .0            357.0         .0                  11.0
364.0               .0357                 1.1233                .0414                  .0            364.0         .0                  8.0
384.0               .0625                 .9688                 .0399                  .0            384.0         .0                  5.0
378.0               .0528                 .9934                 .0551                  .0            379.0         .0                  9.0
364.0               .0849                 .9954                 .0614                  .0            364.0         .0                  9.0
337.0               .0653                 1.141                 .0417                  .0            336.0         .0                  6.0
382.0               .0757                 .9301                 .0477                  .0            383.0         .0                  10.0
370.0               .1105                 1.0634                .0455                  .0            370.0         .0                  9.0
369.0               .1084                 1.0229                .0334                  .0            368.0         .0                  12.0
358.0               .0724                 1.0537                .0465                  .0            359.0         .0                  3.0
404.0               .0988                 .9132                 .0497                  .0            404.0         .0                  9.0
372.0               .118                  1.007                 .0437                  .0            372.0         .0                  8.0
368.0               .0623                 1.0006                .0406                  .0            368.0         .0                  8.0
355.0               .0955                 1.0536                .04                    .0            355.0         .0                  5.0
391.0               .0665                 .953                  .0361                  .0            391.0         .0                  6.0
388.0               .0773                 1.0097                .0435                  .0            387.0         .0                  12.0
