
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
74.0                2.0133                5.5194                .0634                  75.0          .0            .0                  .0
124.0               2.2823                6.4424                .0735                  123.0         .0            .0                  .0
109.0               1.4                   7.9549                .0318                  110.0         .0            .0                  .0
107.0               1.9815                8.2292                .0388                  107.0         .0            .0                  .0
107.0               2.0                   8.6835                .0317                  106.0         .0            .0                  .0
104.0               1.8476                8.8129                .0876                  105.0         .0            .0                  .0
37.0                1.7632                15.9377               .0574                  37.0          .0            .0                  .0
33.0                2.1471                36.2563               .0438                  33.0          .0            .0                  .0
63.0                1.8438                8.6726                .0263                  63.0          .0            .0                  .0
21.0                1.4091                53.665                .021                   21.0          .0            .0                  .0
44.0                1.5556                26.6683               .0269                  44.0          .0            .0                  .0
25.0                2.3077                34.3496               .0334                  25.0          .0            .0                  .0
16.0                .5882                 64.2463               .0291                  16.0          .0            .0                  .0
24.0                1.08                  30.8326               .0351                  24.0          .0            .0                  .0
32.0                1.3636                26.9025               .0257                  32.0          .0            .0                  .0
78.0                1.5063                13.3445               .1019                  78.0          .0            .0                  .0
49.0                1.6122                17.2632               .0738                  48.0          .0            .0                  .0
76.0                1.4026                9.8571                .0241                  77.0          .0            .0                  .0
65.0                1.3636                14.0036               .0305                  65.0          .0            .0                  .0
44.0                1.6667                8.4321                .0236                  44.0          .0            .0                  .0
54.0                1.6364                27.9716               .0293                  54.0          .0            .0                  .0
19.0                1.75                  36.4261               .0469                  19.0          .0            .0                  .0
77.0                1.5128                9.9538                .0214                  77.0          .0            .0                  .0
42.0                .5116                 17.2791               .0864                  42.0          .0            .0                  .0
53.0                1.3208                18.6417               .024                   52.0          .0            .0                  .0
112.0               1.292                 7.2046                .0274                  113.0         .0            .0                  .0
44.0                1.0444                11.9852               .0236                  44.0          .0            .0                  .0
37.0                .8649                 25.1693               .024                   36.0          .0            .0                  .0
62.0                .3548                 6.0026                .0324                  62.0          .0            .0                  .0
92.0                1.086                 7.4398                .0309                  93.0          .0            .0                  .0
48.0                1.0208                16.6538               .0225                  47.0          .0            .0                  .0
27.0                .6071                 8.4943                .026                   28.0          .0            .0                  .0
25.0                .6923                 51.8487               .052                   25.0          .0            .0                  .0
116.0               1.2308                6.979                 .0237                  116.0         .0            .0                  .0
42.0                .4884                 7.4342                .0251                  42.0          .0            .0                  .0
60.0                1.55                  19.7179               .025                   59.0          .0            .0                  .0
85.0                1.1412                7.0568                .0264                  85.0          .0            .0                  .0
98.0                1.6939                8.6185                .0254                  98.0          .0            .0                  .0
16.0                .75                   23.8145               .0255                  16.0          .0            .0                  .0
96.0                2.0103                9.1472                .0374                  97.0          .0            .0                  .0
40.0                .55                   10.3502               .0256                  39.0          .0            .0                  .0
108.0               .5648                 6.5604                .0309                  109.0         .0            .0                  .0
57.0                .7759                 16.28                 .045                   57.0          .0            .0                  .0
63.0                1.0156                7.7183                .0263                  63.0          .0            .0                  .0
10.0                .5455                 142.7598              .0223                  10.0          .0            .0                  .0
83.0                .631                  7.8607                .0305                  83.0          .0            .0                  .0
63.0                1.1406                6.4476                .0246                  63.0          .0            .0                  .0
81.0                1.2317                14.9255               .0306                  81.0          .0            .0                  .0
95.0                1.2292                9.3084                .0269                  95.0          .0            .0                  .0
54.0                .7091                 12.1113               .0499                  54.0          .0            .0                  .0
