
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
17.0                .0588                 1.7562                .7457                  7.0           10.0          .0                  .0
37.0                .1081                 2.1455                .3434                  18.0          19.0          .0                  .0
39.0                .075                  1.6059                -.0106                 23.0          17.0          .0                  .0
38.0                .0263                 1.7791                .1415                  19.0          18.0          .0                  .0
32.0                .0312                 1.4044                .0271                  13.0          19.0          .0                  .0
36.0                .0556                 .9512                 .266                   22.0          14.0          .0                  .0
35.0                .0857                 1.7943                -.0405                 14.0          21.0          .0                  .0
39.0                .0513                 1.3418                .0591                  19.0          20.0          .0                  .0
41.0                .0732                 .9868                 .095                   20.0          21.0          .0                  .0
42.0                .0476                 1.0853                .2363                  22.0          20.0          .0                  .0
38.0                .0526                 1.0298                .2382                  17.0          21.0          .0                  .0
43.0                .0698                 1.0078                .2841                  20.0          23.0          .0                  .0
36.0                .0556                 1.0528                .1173                  20.0          16.0          .0                  .0
41.0                .0732                 1.1953                .3121                  24.0          17.0          .0                  .0
38.0                .0263                 1.155                 .4489                  23.0          15.0          .0                  .0
32.0                .0938                 2.3691                -.2222                 15.0          17.0          .0                  .0
28.0                .25                   .994                  .1619                  11.0          17.0          .0                  .0
42.0                .0714                 .9843                 .157                   15.0          27.0          .0                  .0
36.0                .1667                 1.324                 -.1828                 15.0          21.0          .0                  .0
41.0                .0244                 1.0628                .1312                  27.0          14.0          .0                  .0
33.0                .0                    1.2898                .2711                  12.0          21.0          .0                  .0
34.0                .1765                 1.3625                .6807                  22.0          12.0          .0                  .0
37.0                .0541                 1.0094                .5154                  18.0          19.0          .0                  .0
44.0                .0682                 1.0025                .2258                  21.0          23.0          .0                  .0
41.0                .0488                 1.0868                .2127                  20.0          21.0          .0                  .0
41.0                .0                    1.3392                -.2054                 20.0          21.0          .0                  .0
46.0                .1087                 1.1611                .0621                  18.0          28.0          .0                  .0
36.0                .0833                 1.2291                .1231                  15.0          21.0          .0                  .0
43.0                .093                  1.0347                .1594                  22.0          21.0          .0                  .0
41.0                .1463                 1.0178                .2724                  21.0          20.0          .0                  .0
39.0                .1538                 1.8459                -.079                  19.0          20.0          .0                  .0
41.0                .0244                 1.3246                .3543                  18.0          23.0          .0                  .0
41.0                .122                  1.0264                .2302                  19.0          22.0          .0                  .0
39.0                .0256                 1.0724                .1716                  20.0          19.0          .0                  .0
45.0                .0889                 .9554                 .3496                  27.0          18.0          .0                  .0
37.0                .1622                 1.3088                .0872                  21.0          16.0          .0                  .0
37.0                .0541                 .9758                 .2015                  18.0          19.0          .0                  .0
51.0                .2353                 1.0217                .1294                  26.0          25.0          .0                  .0
42.0                .0238                 1.1808                .3729                  18.0          24.0          .0                  .0
45.0                .0889                 1.1217                .3294                  24.0          21.0          .0                  .0
41.0                .0                    1.0932                .1467                  29.0          12.0          .0                  .0
44.0                .0227                 1.0341                .2196                  19.0          25.0          .0                  .0
34.0                .0588                 1.7405                -.1036                 18.0          16.0          .0                  .0
36.0                .0278                 1.7422                .0183                  17.0          19.0          .0                  .0
37.0                .0541                 1.186                 .2188                  20.0          17.0          .0                  .0
40.0                .125                  1.0168                .1745                  17.0          23.0          .0                  .0
33.0                .0909                 1.3401                .2538                  21.0          12.0          .0                  .0
40.0                .025                  1.1407                .0568                  14.0          26.0          .0                  .0
40.0                .0                    1.0214                .0687                  16.0          24.0          .0                  .0
42.0                .0714                 .8597                 .1803                  11.0          31.0          .0                  .0
39.0                .0769                 .9944                 .2649                  13.0          26.0          .0                  .0
36.0                .0833                 1.1433                .1461                  14.0          22.0          .0                  .0
40.0                .025                  .9092                 .1873                  16.0          24.0          .0                  .0
40.0                .025                  1.1505                .3325                  19.0          21.0          .0                  .0
46.0                .1304                 .9552                 .1182                  19.0          27.0          .0                  .0
48.0                .2292                 1.1902                .1286                  23.0          25.0          .0                  .0
45.0                .1556                 1.038                 .2172                  29.0          16.0          .0                  .0
43.0                .093                  1.2718                .0832                  22.0          21.0          .0                  .0
37.0                .1892                 .8213                 .1953                  16.0          21.0          .0                  .0
40.0                .025                  1.0192                .4081                  19.0          21.0          .0                  .0
3.0                 .0                    1.3721                .005                   2.0           1.0           .0                  .0
Server 0, get requests: 394
Server 1, get requests: 419
Server 2, get requests: 398

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
22.0                .0455                 1.2955                .7391                  10.0          12.0          .0                  .0
29.0                .1034                 1.13                  .501                   13.0          16.0          .0                  .0
42.0                .0476                 .907                  .1752                  19.0          23.0          .0                  .0
37.0                .0811                 .8704                 .3461                  17.0          20.0          .0                  .0
33.0                .0303                 1.0165                .417                   18.0          15.0          .0                  .0
44.0                .1136                 1.3194                .1004                  24.0          20.0          .0                  .0
35.0                .2                    .8764                 .2182                  16.0          19.0          .0                  .0
44.0                .1818                 1.0674                .2343                  21.0          23.0          .0                  .0
36.0                .0                    1.3401                -.0847                 17.0          19.0          .0                  .0
39.0                .125                  1.044                 .1648                  16.0          24.0          .0                  .0
41.0                .0732                 1.0164                .3705                  22.0          18.0          .0                  .0
40.0                .1                    .9493                 .2999                  17.0          23.0          .0                  .0
36.0                .1667                 1.1663                .2051                  17.0          19.0          .0                  .0
43.0                .0698                 1.6132                .1374                  22.0          21.0          .0                  .0
32.0                .0                    1.1282                .0457                  11.0          21.0          .0                  .0
29.0                .1034                 .8909                 .1359                  11.0          18.0          .0                  .0
28.0                .0357                 2.0487                .0558                  17.0          11.0          .0                  .0
40.0                .0244                 .9106                 .1933                  16.0          25.0          .0                  .0
40.0                .05                   1.6888                -.1939                 16.0          23.0          .0                  .0
36.0                .0                    1.1117                .3831                  20.0          16.0          .0                  .0
28.0                .0                    2.9462                -.5409                 12.0          16.0          .0                  .0
41.0                .0976                 1.0696                .3119                  18.0          23.0          .0                  .0
41.0                .0976                 .9375                 .2129                  19.0          22.0          .0                  .0
49.0                .0612                 .8834                 .2484                  23.0          26.0          .0                  .0
46.0                .1522                 1.0754                .2684                  25.0          21.0          .0                  .0
42.0                .0                    .9419                 .0617                  19.0          23.0          .0                  .0
44.0                .0455                 1.01                  .1584                  21.0          23.0          .0                  .0
41.0                .0976                 1.1348                .3425                  21.0          20.0          .0                  .0
43.0                .1163                 1.0771                .2172                  16.0          27.0          .0                  .0
53.0                .0755                 1.1029                .0869                  22.0          31.0          .0                  .0
35.0                .0286                 1.4992                .0856                  14.0          21.0          .0                  .0
38.0                .1842                 1.0855                .2054                  19.0          19.0          .0                  .0
34.0                .0588                 .8646                 .1458                  15.0          19.0          .0                  .0
37.0                .027                  1.1073                .2388                  21.0          16.0          .0                  .0
44.0                .0227                 .9231                 .1561                  24.0          20.0          .0                  .0
49.0                .0612                 1.1052                .1313                  27.0          22.0          .0                  .0
41.0                .2927                 1.044                 .1378                  19.0          22.0          .0                  .0
36.0                .0                    1.4118                .145                   20.0          16.0          .0                  .0
40.0                .075                  1.218                 .4053                  22.0          18.0          .0                  .0
42.0                .1429                 .9194                 .1651                  19.0          23.0          .0                  .0
43.0                .0465                 .8507                 .1807                  19.0          24.0          .0                  .0
38.0                .1053                 .9602                 .149                   21.0          17.0          .0                  .0
45.0                .0889                 1.3365                .0931                  25.0          20.0          .0                  .0
39.0                .0256                 .9943                 .2583                  19.0          20.0          .0                  .0
39.0                .0513                 1.4464                -.0851                 16.0          23.0          .0                  .0
41.0                .0488                 1.0678                .1826                  16.0          25.0          .0                  .0
44.0                .0455                 1.1603                .153                   21.0          23.0          .0                  .0
42.0                .0698                 .8143                 .3404                  24.0          19.0          .0                  .0
42.0                .0952                 1.1598                -.0402                 21.0          20.0          .0                  .0
39.0                .0513                 .9997                 .3397                  20.0          19.0          .0                  .0
46.0                .0435                 .9051                 .1974                  23.0          23.0          .0                  .0
39.0                .0513                 1.0905                .3677                  22.0          17.0          .0                  .0
41.0                .0244                 1.0639                .173                   19.0          22.0          .0                  .0
47.0                .0                    .9373                 .3378                  26.0          21.0          .0                  .0
37.0                .1081                 1.1125                .1523                  18.0          19.0          .0                  .0
37.0                .1892                 1.2147                .0995                  19.0          18.0          .0                  .0
38.0                .0263                 1.0995                .0969                  20.0          18.0          .0                  .0
38.0                .0789                 1.0177                .2334                  29.0          9.0           .0                  .0
39.0                .2308                 1.1793                .0978                  16.0          23.0          .0                  .0
38.0                .0263                 1.0646                .0975                  18.0          20.0          .0                  .0
2.0                 .0                    1.1911                .9541                  1.0           1.0           .0                  .0
Server 0, get requests: 415
Server 1, get requests: 433
Server 2, get requests: 367

Thread 2
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
19.0                .0526                 1.1603                1.0402                 12.0          7.0           .0                  .0
31.0                .0968                 1.3438                .118                   15.0          16.0          .0                  .0
41.0                .0244                 1.0421                .3517                  19.0          22.0          .0                  .0
38.0                .0789                 1.0704                .2691                  18.0          20.0          .0                  .0
39.0                .1282                 1.3974                .393                   23.0          16.0          .0                  .0
42.0                .0952                 1.1302                .1042                  23.0          19.0          .0                  .0
47.0                .1702                 1.1165                .1668                  29.0          18.0          .0                  .0
41.0                .1707                 .8562                 .217                   21.0          20.0          .0                  .0
46.0                .0638                 1.0225                .1195                  16.0          31.0          .0                  .0
40.0                .05                   .9449                 .2554                  13.0          26.0          .0                  .0
41.0                .0244                 .9582                 .2113                  20.0          21.0          .0                  .0
39.0                .1282                 1.1389                .2421                  17.0          22.0          .0                  .0
42.0                .0476                 1.3321                .2101                  21.0          21.0          .0                  .0
43.0                .0465                 .8574                 .2322                  19.0          24.0          .0                  .0
40.0                .05                   .8777                 .1808                  20.0          20.0          .0                  .0
30.0                .1                    1.9004                .5975                  15.0          15.0          .0                  .0
25.0                .04                   2.2195                -.0609                 11.0          14.0          .0                  .0
41.0                .0488                 .9522                 .1417                  15.0          26.0          .0                  .0
40.0                .0488                 1.2834                .3664                  24.0          17.0          .0                  .0
36.0                .0833                 .9749                 .1778                  17.0          18.0          .0                  .0
34.0                .0286                 1.6768                .0021                  15.0          20.0          .0                  .0
40.0                .025                  1.1799                .3772                  19.0          20.0          .0                  .0
41.0                .0488                 .9605                 .3891                  23.0          18.0          .0                  .0
43.0                .0465                 .994                  .1799                  22.0          21.0          .0                  .0
38.0                .0789                 .9367                 .1022                  21.0          17.0          .0                  .0
41.0                .0488                 .9623                 .1198                  25.0          16.0          .0                  .0
41.0                .0488                 1.1367                .1829                  18.0          23.0          .0                  .0
42.0                .0952                 1.2011                .033                   18.0          24.0          .0                  .0
35.0                .1429                 1.044                 .3033                  19.0          16.0          .0                  .0
39.0                .0                    .9011                 .2593                  20.0          19.0          .0                  .0
36.0                .0278                 .9681                 .1028                  18.0          18.0          .0                  .0
