
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
416.0               16.2926               1.485                 .3234                  .0            417.0         .0                  .0
556.0               16.4399               1.5732                .1961                  .0            556.0         .0                  .0
675.0               17.9911               1.3085                .1636                  .0            675.0         .0                  .0
588.0               17.9406               1.5397                .1559                  .0            588.0         .0                  .0
594.0               18.8067               1.5543                .1236                  .0            594.0         .0                  .0
561.0               19.2331               1.6712                .0969                  .0            561.0         .0                  .0
519.0               18.0942               1.8435                .0879                  .0            519.0         .0                  16.0
609.0               18.6262               1.5082                .1241                  .0            609.0         .0                  .0
501.0               17.5657               1.8109                .1826                  .0            501.0         .0                  .0
557.0               18.0215               1.6444                .1386                  .0            557.0         .0                  .0
566.0               18.5097               1.6106                .1476                  .0            566.0         .0                  .0
567.0               18.0792               1.5665                .1928                  .0            567.0         .0                  .0
562.0               17.3694               1.6088                .1645                  .0            562.0         .0                  .0
599.0               18.025                1.6001                .064                   .0            600.0         .0                  .0
628.0               17.4124               1.484                 .0975                  .0            627.0         .0                  .0
570.0               17.9072               1.5708                .1771                  .0            570.0         .0                  .0
588.0               18.1494               1.5199                .173                   .0            588.0         .0                  .0
575.0               18.0191               1.5923                .1414                  .0            575.0         .0                  .0
570.0               18.1856               1.5774                .1734                  .0            570.0         .0                  .0
596.0               17.8342               1.54                  .1393                  .0            596.0         .0                  .0
611.0               18.2092               1.5192                .1069                  .0            611.0         .0                  13.0
600.0               18.8319               1.5513                .1122                  .0            600.0         .0                  1.0
620.0               16.3285               1.4798                .1325                  .0            620.0         .0                  10.0
551.0               18.0362               1.5627                .2258                  .0            551.0         .0                  .0
602.0               17.4163               1.5444                .1237                  .0            602.0         .0                  .0
662.0               17.2836               1.4419                .0709                  .0            662.0         .0                  15.0
631.0               16.7627               1.4118                .1636                  .0            631.0         .0                  .0
576.0               16.8371               1.586                 .1477                  .0            576.0         .0                  .0
569.0               18.2474               1.6733                .0793                  .0            569.0         .0                  .0
589.0               17.6966               1.5564                .132                   .0            589.0         .0                  18.0
618.0               17.9919               1.4931                .2622                  .0            619.0         .0                  4.0
553.0               18.368                1.6236                .1812                  .0            552.0         .0                  .0
329.0               18.0485               1.5597                .1851                  .0            329.0         .0                  .0
22.0                828.6957              64.563                .044                   .0            22.0          .0                  .0
386.0               16.3333               1.5699                .0487                  .0            386.0         .0                  .0
43.0                232.2727              22.127                .048                   .0            43.0          .0                  .0
3.0                 695.25                306.9543              .0469                  .0            3.0           .0                  .0
405.0               92.3719               5.9443                .2253                  .0            405.0         .0                  .0
559.0               18.1375               1.6447                .1382                  .0            559.0         .0                  .0
576.0               18.9671               1.6157                .1152                  .0            576.0         .0                  .0
583.0               18.0908               1.5626                .1471                  .0            583.0         .0                  16.0
589.0               18.0441               1.5394                .1517                  .0            589.0         .0                  13.0
563.0               18.9434               1.6535                .1219                  .0            564.0         .0                  12.0
580.0               17.7931               1.5941                .1185                  .0            579.0         .0                  3.0
605.0               17.8317               1.5517                .096                   .0            605.0         .0                  9.0
603.0               18.1556               1.5002                .1539                  .0            603.0         .0                  .0
570.0               18.2067               1.6067                .1448                  .0            570.0         .0                  .0
559.0               18.4304               1.6571                .1237                  .0            559.0         .0                  .0
588.0               18.309                1.564                 .1338                  .0            588.0         .0                  .0
545.0               18.6593               1.7471                .0828                  .0            545.0         .0                  .0
571.0               18.2465               1.6499                .0959                  .0            571.0         .0                  16.0
585.0               18.0375               1.6325                .0715                  .0            585.0         .0                  .0
597.0               17.9365               1.5754                .0905                  .0            597.0         .0                  .0
573.0               17.8432               1.6164                .1242                  .0            573.0         .0                  .0
592.0               18.2901               1.5544                .1294                  .0            592.0         .0                  .0
584.0               18.1744               1.6099                .0955                  .0            584.0         .0                  .0
551.0               17.7754               1.7308                .0798                  .0            551.0         .0                  1.0
601.0               17.9751               1.5524                .1068                  .0            601.0         .0                  12.0
633.0               17.2177               1.4356                .1391                  .0            633.0         .0                  2.0
4.0                 8.75                  1.5896                .0391                  .0            3.0           .0                  .0
Server 0, get requests: 10726
Server 1, get requests: 10716
Server 2, get requests: 10536

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
393.0               16.6447               1.5499                4.008                  .0            395.0         .0                  .0
542.0               16.4299               1.7244                .1038                  .0            541.0         .0                  .0
585.0               18.256                1.5511                .1481                  .0            585.0         .0                  .0
577.0               18.192                1.5903                .1351                  .0            577.0         .0                  .0
537.0               18.6952               1.7374                .1178                  .0            537.0         .0                  .0
439.0               19.0818               2.1581                .1148                  .0            439.0         .0                  .0
599.0               18.02                 1.5461                .1201                  .0            599.0         .0                  19.0
635.0               18.6541               1.4417                .1263                  .0            635.0         .0                  .0
531.0               17.8102               1.7157                .1658                  .0            531.0         .0                  .0
546.0               18.0804               1.6682                .1526                  .0            546.0         .0                  .0
573.0               18.6777               1.5893                .152                   .0            573.0         .0                  .0
581.0               17.9536               1.6163                .1004                  .0            581.0         .0                  .0
598.0               17.3573               1.5405                .127                   .0            598.0         .0                  .0
562.0               18.1652               1.6771                .0912                  .0            562.0         .0                  .0
606.0               17.5107               1.447                 .2029                  .0            606.0         .0                  .0
584.0               17.906                1.5515                .1507                  .0            584.0         .0                  .0
569.0               18.1719               1.5969                .159                   .0            569.0         .0                  .0
563.0               18.0851               1.6702                .1008                  .0            563.0         .0                  .0
566.0               18.1781               1.5612                .2076                  .0            566.0         .0                  .0
566.0               17.6772               1.5609                .1921                  .0            566.0         .0                  .0
612.0               18.1909               1.4579                .1782                  .0            612.0         .0                  13.0
598.0               18.8164               1.5172                .1484                  .0            599.0         .0                  1.0
624.0               16.4551               1.4602                .1372                  .0            623.0         .0                  20.0
538.0               18.0093               1.6452                .1952                  .0            538.0         .0                  .0
591.0               17.4645               1.6294                .0583                  .0            591.0         .0                  .0
593.0               17.0842               1.5832                .1174                  .0            593.0         .0                  10.0
638.0               16.7324               1.3919                .1657                  .0            638.0         .0                  .0
623.0               16.7724               1.4791                .1235                  .0            623.0         .0                  .0
580.0               18.3632               1.6325                .0867                  .0            580.0         .0                  .0
586.0               17.3458               1.5789                .1194                  .0            586.0         .0                  17.0
584.0               18.0188               1.5849                .1245                  .0            584.0         .0                  6.0
572.0               18.541                1.578                 .1648                  .0            572.0         .0                  .0
323.0               17.963                1.6691                .107                   .0            323.0         .0                  .0
22.0                599.3043              64.5452               .0579                  .0            22.0          .0                  .0
406.0               16.1646               1.4585                .0811                  .0            406.0         .0                  .0
49.0                195.46                19.4418               .0491                  .0            49.0          .0                  .0
3.0                 695.5                 306.1805              .0437                  .0            3.0           .0                  .0
357.0               79.7458               6.8681                .1341                  .0            357.0         .0                  .0
553.0               18.3213               1.6794                .1221                  .0            553.0         .0                  .0
533.0               19.0375               1.7288                .1408                  .0            533.0         .0                  .0
533.0               17.809                1.6923                .1801                  .0            533.0         .0                  19.0
577.0               17.9983               1.5569                .1707                  .0            577.0         .0                  11.0
554.0               18.8991               1.6743                .1231                  .0            554.0         .0                  19.0
566.0               17.9965               1.59                  .1656                  .0            566.0         .0                  1.0
565.0               17.818                1.5752                .194                   .0            565.0         .0                  10.0
588.0               18.0985               1.5928                .1027                  .0            588.0         .0                  4.0
556.0               18.3986               1.6659                .1253                  .0            556.0         .0                  .0
555.0               18.4335               1.624                 .1739                  .0            555.0         .0                  .0
555.0               18.2626               1.6566                .1413                  .0            555.0         .0                  .0
541.0               18.6107               1.7425                .0944                  .0            541.0         .0                  2.0
547.0               18.5128               1.6292                .1974                  .0            547.0         .0                  15.0
584.0               18.0479               1.5986                .1086                  .0            584.0         .0                  1.0
591.0               18.1436               1.594                 .0923                  .0            591.0         .0                  .0
556.0               17.8025               1.7067                .084                   .0            556.0         .0                  .0
557.0               18.0753               1.6816                .1083                  .0            557.0         .0                  .0
586.0               18.1039               1.5943                .1059                  .0            586.0         .0                  .0
572.0               17.986                1.6247                .118                   .0            572.0         .0                  2.0
580.0               18.1256               1.6428                .0767                  .0            580.0         .0                  5.0
588.0               17.3158               1.6144                .0794                  .0            588.0         .0                  .0
3.0                 8.3333                .9385                 .0497                  .0            2.0           .0                  .0
Server 0, get requests: 10400
Server 1, get requests: 10351
Server 2, get requests: 10540

Thread 2
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
381.0               16.6168               1.5486                .4154                  .0            382.0         .0                  .0
597.0               16.6605               1.5172                .1373                  .0            597.0         .0                  .0
514.0               18.2291               1.8004                .1327                  .0            514.0         .0                  .0
580.0               18.1738               1.5521                .1668                  .0            580.0         .0                  .0
548.0               18.6466               1.6918                .1255                  .0            548.0         .0                  .0
505.0               19.4071               1.8548                .1202                  .0            505.0         .0                  .0
590.0               17.8223               1.5592                .1269                  .0            590.0         .0                  14.0
488.0               18.6871               1.9721                .079                   .0            488.0         .0                  .0
613.0               17.5                  1.4733                .1488                  .0            613.0         .0                  .0
577.0               18.0727               1.5562                .1698                  .0            577.0         .0                  .0
562.0               18.5293               1.6252                .1518                  .0            562.0         .0                  .0
594.0               18.0168               1.5758                .1024                  .0            594.0         .0                  .0
612.0               17.2822               1.5304                .0975                  .0            612.0         .0                  .0
604.0               18.0331               1.5439                .1072                  .0            604.0         .0                  .0
586.0               17.4787               1.5395                .1562                  .0            586.0         .0                  .0
548.0               17.7505               1.6601                .1558                  .0            548.0         .0                  .0
540.0               18.1035               1.611                 .2341                  .0            540.0         .0                  .0
558.0               17.9231               1.6078                .1788                  .0            558.0         .0                  .0
562.0               18.4067               1.619                 .1643                  .0            562.0         .0                  .0
576.0               17.8718               1.6066                .124                   .0            576.0         .0                  .0
575.0               18.1042               1.5981                .1296                  .0            575.0         .0                  16.0
516.0               18.6944               1.8196                .1186                  .0            516.0         .0                  .0
606.0               16.4926               1.5437                .099                   .0            606.0         .0                  9.0
529.0               18.2717               1.6932                .1957                  .0            529.0         .0                  .0
582.0               17.3619               1.6221                .0803                  .0            582.0         .0                  .0
580.0               17.0551               1.6332                .1013                  .0            580.0         .0                  15.0
570.0               16.5779               1.655                 .0899                  .0            570.0         .0                  .0
597.0               16.9582               1.5313                .1375                  .0            597.0         .0                  .0
546.0               18.3766               1.6758                .1496                  .0            546.0         .0                  .0
594.0               17.4639               1.5575                .1185                  .0            594.0         .0                  22.0
572.0               17.9372               1.6253                .122                   .0            572.0         .0                  3.0
564.0               18.4549               1.6175                .1493                  .0            564.0         .0                  .0
343.0               18.1366               1.5637                .1139                  .0            343.0         .0                  .0
23.0                666.9583              61.7282               .0455                  .0            23.0          .0                  .0
402.0               16.5583               1.4019                .1468                  .0            402.0         .0                  .0
56.0                241.7018              16.9706               .0459                  .0            56.0          .0                  .0
2.0                 618.0                 460.2402              .0489                  .0            2.0           .0                  .0
359.0               94.8361               6.8742                .089                   .0            359.0         .0                  .0
528.0               18.2287               1.7349                .1544                  .0            528.0         .0                  .0
552.0               18.859                1.662                 .1444                  .0            552.0         .0                  1.0
573.0               17.9634               1.6445                .094                   .0            573.0         .0                  29.0
582.0               18.2813               1.5495                .1638                  .0            582.0         .0                  7.0
552.0               18.6781               1.6307                .1693                  .0            552.0         .0                  10.0
553.0               18.0181               1.6801                .13                    .0            553.0         .0                  7.0
572.0               17.8901               1.6264                .1141                  .0            572.0         .0                  9.0
581.0               18.1959               1.5491                .166                   .0            581.0         .0                  2.0
551.0               18.471                1.6384                .1698                  .0            551.0         .0                  .0
568.0               18.3884               1.6429                .117                   .0            568.0         .0                  .0
549.0               18.4745               1.6873                .1268                  .0            549.0         .0                  .0
547.0               18.6022               1.6894                .1339                  .0            547.0         .0                  2.0
547.0               18.2865               1.6974                .1247                  .0            547.0         .0                  6.0
596.0               17.8107               1.5998                .0721                  .0            596.0         .0                  .0
