Write-Only,Effect,,,,,,,,Throughput avg,Errors,,
Exp,q0,qa,qb,qc,qaqb,qaqc,qbqc,qaqbqc,ymean,e1,e2,e3
1,1,-1,-1,-1,1,1,1,-1,2825.0733333333,2918.44,2876.97,2682.81
2,1,-1,-1,1,1,-1,-1,1,2817.1833333333,2638.68,2905.23,2904.64
3,1,1,-1,-1,-1,-1,1,1,8003.7233333333,8105.56,7969.37,7933.24
4,1,1,-1,1,-1,1,-1,-1,8603.7466666667,8588.58,8641.32,8584.34
5,1,-1,1,-1,-1,1,-1,1,2892.5966666667,2900.58,2884.97,2889.24
6,1,-1,1,1,-1,-1,1,-1,2898.4066666667,2898.21,2900.67,2899.34
7,1,1,1,-1,1,-1,-1,-1,8314.1233333333,8715.93,8081.08,8148.36
8,1,1,1,1,1,1,1,1,8046.1933333333,6771.69,8687.5,8676.39
Total,44401.0466666667,21534.5266666667,-98.4066666667,330.0133333333,-395.9,334.1733333333,-854.2533333333,-881.6533333333,,,,
Total / 8,5550.1308333333,2691.8158333333,-12.3008333333,41.2516666667,-49.4875,41.7716666667,-106.7816666667,-110.2066666667,,SSE =  2773582.23953333,,
