Middleware2/12_02_2018_20:17:11E61ROMidd2_2Midd_1Server_T32_C32_try1.log

Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
33.0                27.5588               16.1662               5.2029                 .0            34.0          .0                  .0
41.0                41.1905               23.6259               .0787                  .0            41.0          .0                  .0
46.0                40.766                22.2069               .0743                  .0            46.0          .0                  .0
43.0                44.75                 22.1201               1.1275                 .0            43.0          .0                  .0
45.0                40.6522               21.7031               .4134                  .0            45.0          .0                  .0
52.0                41.2075               18.6065               .6101                  .0            52.0          .0                  .0
44.0                39.0667               22.6797               .0506                  .0            44.0          .0                  .0
48.0                44.7143               19.8047               .7513                  .0            48.0          .0                  .0
48.0                40.2449               20.0641               .0527                  .0            48.0          .0                  .0
45.0                42.8043               22.217                1.0474                 .0            45.0          .0                  .0
38.0                41.8205               25.8088               .077                   .0            38.0          .0                  .0
48.0                46.8571               20.7852               .3712                  .0            48.0          .0                  .0
54.0                44.0                  18.3619               .1492                  .0            54.0          .0                  .0
53.0                43.0556               18.5126               .051                   .0            53.0          .0                  .0
43.0                41.8636               21.3166               1.5714                 .0            43.0          .0                  .0
46.0                44.1489               21.71                 .6937                  .0            46.0          .0                  .0
44.0                45.3111               22.7444               .0754                  .0            44.0          .0                  .0
37.0                44.1053               25.5848               .9012                  .0            37.0          .0                  .0
43.0                43.5455               23.203                .4578                  .0            43.0          .0                  .0
42.0                39.7209               23.5143               -.1153                 .0            42.0          .0                  1.0
46.0                43.1915               21.6737               .3905                  .0            46.0          .0                  .0
41.0                40.881                24.3035               .0832                  .0            41.0          .0                  .0
47.0                41.3542               19.961                .9791                  .0            47.0          .0                  .0
41.0                41.0238               24.6957               .0674                  .0            41.0          .0                  .0
43.0                42.3636               23.1897               .0579                  .0            43.0          .0                  .0
41.0                46.2143               23.9546               .4218                  .0            41.0          .0                  .0
45.0                42.1087               22.1666               .0492                  .0            45.0          .0                  .0
46.0                42.766                20.6659               1.0722                 .0            46.0          .0                  .0
46.0                46.4681               20.3139               1.4054                 .0            46.0          .0                  .0
48.0                45.0204               20.7687               .0577                  .0            48.0          .0                  .0
48.0                42.6735               19.7223               1.1136                 .0            48.0          .0                  .0
44.0                42.2667               22.6361               .088                   .0            44.0          .0                  .0
47.0                41.2917               20.8548               .4129                  .0            47.0          .0                  .0
42.0                42.2558               23.3596               .438                   .0            42.0          .0                  .0
38.0                40.4359               24.9751               .0931                  .0            38.0          .0                  .0
50.0                43.902                20.5785               .352                   .0            50.0          .0                  .0
47.0                41.25                 20.8179               .3874                  .0            47.0          .0                  .0
38.0                47.0769               25.4734               .4258                  .0            38.0          .0                  .0
48.0                41.2449               20.7917               .3646                  .0            48.0          .0                  .0
52.0                42.5094               18.8267               .3989                  .0            52.0          .0                  .0
48.0                46.0816               20.4425               .3858                  .0            48.0          .0                  .0
44.0                44.8444               20.8884               1.1147                 .0            44.0          .0                  .0
51.0                44.0385               20.1594               .0509                  .0            51.0          .0                  .0
