
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
371.0               43.2715               1.4385                .4846                  372.0         .0            .0                  .0
494.0               46.3273               1.4106                .5345                  494.0         .0            .0                  .0
584.0               42.5897               1.2811                .3753                  584.0         .0            .0                  .0
582.0               38.7479               1.3387                .3295                  582.0         .0            .0                  .0
612.0               36.9804               1.3049                .2723                  612.0         .0            .0                  .0
651.0               34.0077               1.2607                .2283                  651.0         .0            .0                  .0
610.0               36.5761               1.2874                .3069                  610.0         .0            .0                  .0
603.0               38.7517               1.2672                .3381                  603.0         .0            .0                  .0
581.0               39.4038               1.3456                .3276                  581.0         .0            .0                  .0
606.0               38.056                1.3388                .2582                  606.0         .0            .0                  .0
598.0               37.3806               1.3077                .3191                  598.0         .0            .0                  .0
607.0               37.1645               1.2938                .3053                  607.0         .0            .0                  .0
626.0               39.059                1.3816                .1639                  626.0         .0            .0                  .0
611.0               38.4363               1.2531                .3287                  611.0         .0            .0                  .0
624.0               37.2656               1.2617                .2934                  624.0         .0            .0                  .0
630.0               35.2377               1.3328                .2052                  630.0         .0            .0                  .0
600.0               38.2413               1.2981                .3175                  600.0         .0            .0                  .0
694.0               33.4014               1.2016                .1941                  694.0         .0            .0                  .0
578.0               38.9516               1.3794                .3018                  578.0         .0            .0                  .0
581.0               40.2045               1.3309                .3426                  581.0         .0            .0                  .0
617.0               37.4401               1.2586                .3179                  617.0         .0            .0                  .0
612.0               37.2561               1.2527                .3306                  612.0         .0            .0                  .0
599.0               38.3133               1.2705                .3479                  599.0         .0            .0                  .0
632.0               35.9367               1.3996                .1335                  631.0         .0            .0                  .0
605.0               38.5677               1.2953                .3083                  606.0         .0            .0                  .0
608.0               38.156                1.2985                .2894                  608.0         .0            .0                  .0
607.0               37.2763               1.297                 .3048                  607.0         .0            .0                  .0
599.0               36.6083               1.4186                .2052                  599.0         .0            .0                  .0
631.0               35.6883               1.26                  .2763                  631.0         .0            .0                  .0
600.0               37.6572               1.2523                .3612                  600.0         .0            .0                  .0
604.0               37.4446               1.3436                .2652                  604.0         .0            .0                  .0
588.0               38.7555               1.3035                .3363                  588.0         .0            .0                  .0
599.0               37.8767               1.4435                .1791                  599.0         .0            .0                  .0
573.0               39.9983               1.4047                .2951                  573.0         .0            .0                  .0
593.0               37.9983               1.4201                .2211                  593.0         .0            .0                  .0
637.0               35.5799               1.3216                .1948                  637.0         .0            .0                  .0
591.0               37.1807               1.3666                .2753                  591.0         .0            .0                  .0
561.0               40.7171               1.3285                .4056                  561.0         .0            .0                  .0
659.0               34.4294               1.246                 .2243                  658.0         .0            .0                  .0
579.0               39.7483               1.3575                .3241                  580.0         .0            .0                  .0
579.0               39.419                1.3433                .3382                  579.0         .0            .0                  .0
618.0               37.6171               1.2494                .3215                  618.0         .0            .0                  .0
560.0               40.4135               1.4859                .2401                  560.0         .0            .0                  .0
581.0               38.3162               1.3657                .3089                  581.0         .0            .0                  .0
588.0               38.3837               1.3874                .2656                  588.0         .0            .0                  .0
618.0               38.8982               1.2576                .3111                  618.0         .0            .0                  .0
554.0               42.2685               1.3645                .3936                  554.0         .0            .0                  .0
661.0               33.8172               1.1774                .2789                  661.0         .0            .0                  .0
597.0               38.7692               .9894                 .6438                  597.0         .0            .0                  .0
638.0               36.5383               1.315                 .2053                  638.0         .0            .0                  .0
614.0               37.5333               1.3202                .2557                  614.0         .0            .0                  .0
587.0               38.5425               1.3178                .3324                  587.0         .0            .0                  .0
570.0               39.2977               1.4484                .2544                  570.0         .0            .0                  .0
631.0               38.182                1.2483                .2901                  631.0         .0            .0                  .0
563.0               41.1649               1.4076                .2975                  563.0         .0            .0                  .0
653.0               34.7339               1.2759                .2182                  653.0         .0            .0                  .0
604.0               37.6463               1.3176                .279                   604.0         .0            .0                  .0
546.0               41.2267               1.5144                .2381                  546.0         .0            .0                  .0
632.0               36.5798               1.2087                .3155                  632.0         .0            .0                  .0
639.0               35.4172               1.2418                .275                   639.0         .0            .0                  .0
224.0               15.25                 1.4606                -.0235                 223.0         .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
313.0               41.8885               .4629                 .5883                  314.0         .0            .0                  .0
424.0               46.3671               1.5432                .7401                  424.0         .0            .0                  .0
527.0               41.9375               1.4295                .4202                  527.0         .0            .0                  .0
582.0               38.9846               1.3435                .3234                  582.0         .0            .0                  .0
615.0               37.1315               1.2621                .3135                  615.0         .0            .0                  .0
671.0               34.1086               1.1693                .2701                  671.0         .0            .0                  .0
608.0               36.5452               1.2618                .3347                  608.0         .0            .0                  .0
592.0               38.4975               1.2776                .3617                  592.0         .0            .0                  .0
580.0               39.8038               1.2989                .3753                  580.0         .0            .0                  .0
591.0               38.3514               1.3798                .2655                  591.0         .0            .0                  .0
603.0               37.5232               1.3051                .3081                  603.0         .0            .0                  .0
618.0               37.2149               1.2632                .3075                  618.0         .0            .0                  .0
606.0               38.9506               1.3371                .2627                  606.0         .0            .0                  .0
481.0               37.8714               1.5214                .513                   481.0         .0            .0                  .0
594.0               37.1042               1.3215                .3048                  594.0         .0            .0                  .0
653.0               35.448                1.2233                .2671                  653.0         .0            .0                  .0
591.0               38.2584               1.3246                .3208                  591.0         .0            .0                  .0
662.0               33.3183               1.2421                .2229                  662.0         .0            .0                  .0
568.0               39.0123               1.3848                .3273                  568.0         .0            .0                  .0
567.0               39.9789               1.3258                .3896                  567.0         .0            .0                  .0
586.0               37.385                1.2881                .3699                  586.0         .0            .0                  .0
603.0               37.4023               1.2993                .311                   603.0         .0            .0                  .0
589.0               38.2085               1.2862                .3659                  589.0         .0            .0                  .0
619.0               36.0242               1.3894                .1719                  618.0         .0            .0                  .0
595.0               38.5812               1.317                 .3143                  596.0         .0            .0                  .0
599.0               37.9167               1.3204                .3009                  599.0         .0            .0                  .0
613.0               37.3567               1.2822                .3021                  613.0         .0            .0                  .0
623.0               36.5016               1.3252                .2339                  623.0         .0            .0                  .0
630.0               35.5721               1.2574                .275                   630.0         .0            .0                  .0
598.0               37.6912               1.246                 .377                   598.0         .0            .0                  .0
603.0               37.4603               1.3324                .2808                  603.0         .0            .0                  .0
578.0               39.1313               1.3018                .3794                  578.0         .0            .0                  .0
584.0               38.0564               1.4241                .2428                  584.0         .0            .0                  .0
543.0               40.0588               1.3575                .425                   543.0         .0            .0                  .0
578.0               38.2971               1.3588                .3125                  578.0         .0            .0                  .0
639.0               35.6906               1.2974                .2177                  639.0         .0            .0                  .0
609.0               37.4066               1.2719                .323                   609.0         .0            .0                  .0
564.0               40.8584               1.313                 .4124                  564.0         .0            .0                  .0
647.0               34.3966               1.2455                .2453                  647.0         .0            .0                  .0
582.0               39.6278               1.3388                .334                   582.0         .0            .0                  .0
584.0               39.3863               1.3138                .3463                  584.0         .0            .0                  .0
587.0               37.5663               1.3229                .3327                  587.0         .0            .0                  .0
549.0               40.3764               1.4868                .2758                  549.0         .0            .0                  .0
585.0               38.3652               1.3312                .3291                  585.0         .0            .0                  .0
587.0               38.1293               1.3333                .3239                  587.0         .0            .0                  .0
584.0               38.9026               1.2621                .3984                  584.0         .0            .0                  .0
529.0               42.2113               1.4082                .4326                  529.0         .0            .0                  .0
655.0               34.1707               1.2258                .2542                  655.0         .0            .0                  .0
591.0               38.7956               1.3649                .2717                  591.0         .0            .0                  .0
615.0               36.4237               1.3332                .2371                  615.0         .0            .0                  .0
612.0               37.5041               1.2728                .3133                  612.0         .0            .0                  .0
592.0               38.6492               1.3212                .3204                  592.0         .0            .0                  .0
562.0               39.119                1.5284                .1915                  562.0         .0            .0                  .0
606.0               38.43                 1.2841                .3251                  606.0         .0            .0                  .0
547.0               40.8613               1.3599                .3917                  547.0         .0            .0                  .0
635.0               34.8661               1.2724                .268                   634.0         .0            .0                  .0
607.0               37.5435               1.2217                .3758                  608.0         .0            .0                  .0
552.0               40.5081               1.463                 .3005                  552.0         .0            .0                  .0
660.0               36.5144               1.2109                .2555                  660.0         .0            .0                  .0
627.0               35.2994               1.2567                .2863                  627.0         .0            .0                  .0
221.0               15.086                1.4655                -.0052                 220.0         .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 2
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
297.0               44.7517               1.518                 .9507                  298.0         .0            .0                  .0
489.0               46.4102               1.4094                .5691                  489.0         .0            .0                  .0
518.0               42.0                  1.4925                .3898                  518.0         .0            .0                  .0
569.0               38.7877               1.4149                .2924                  569.0         .0            .0                  .0
580.0               37.1446               1.3027                .3547                  580.0         .0            .0                  .0
643.0               33.9876               1.2304                .2785                  643.0         .0            .0                  .0
629.0               36.5286               1.2381                .303                   629.0         .0            .0                  .0
580.0               38.6196               1.325                 .3535                  580.0         .0            .0                  .0
555.0               39.3058               1.3874                .3657                  555.0         .0            .0                  .0
593.0               37.8906               1.3944                .2428                  593.0         .0            .0                  .0
602.0               37.3532               1.2782                .337                   602.0         .0            .0                  .0
605.0               37.2195               1.2626                .3385                  605.0         .0            .0                  .0
598.0               38.9699               1.3924                .2242                  598.0         .0            .0                  .0
622.0               38.5322               1.198                 .3629                  622.0         .0            .0                  .0
615.0               37.1104               1.2728                .3016                  615.0         .0            .0                  .0
611.0               35.1993               1.3096                .2798                  611.0         .0            .0                  .0
595.0               38.0403               1.2381                .3902                  595.0         .0            .0                  .0
679.0               33.2794               1.2253                .2016                  679.0         .0            .0                  .0
577.0               39.0467               1.3576                .3267                  577.0         .0            .0                  .0
560.0               40.0749               1.3653                .3712                  560.0         .0            .0                  .0
615.0               37.3799               1.2212                .3598                  615.0         .0            .0                  .0
598.0               37.3539               1.2565                .365                   598.0         .0            .0                  .0
590.0               38.2724               1.29                  .346                   590.0         .0            .0                  .0
601.0               35.8987               1.4352                .1833                  601.0         .0            .0                  .0
584.0               38.5009               1.4155                .2499                  584.0         .0            .0                  .0
595.0               38.0268               1.2701                .3586                  595.0         .0            .0                  .0
595.0               37.1644               1.3067                .3212                  595.0         .0            .0                  .0
600.0               36.5341               1.3738                .2456                  600.0         .0            .0                  .0
634.0               35.652                1.2256                .3                     634.0         .0            .0                  .0
597.0               37.6405               1.2192                .3982                  597.0         .0            .0                  .0
601.0               37.3272               1.3801                .2386                  601.0         .0            .0                  .0
583.0               38.5531               1.3288                .3371                  583.0         .0            .0                  .0
598.0               37.8932               1.3963                .2281                  598.0         .0            .0                  .0
567.0               39.9859               1.3662                .345                   567.0         .0            .0                  .0
588.0               37.8829               1.3877                .254                   588.0         .0            .0                  .0
630.0               35.5515               1.3201                .2205                  630.0         .0            .0                  .0
584.0               37.1692               1.291                 .3665                  584.0         .0            .0                  .0
551.0               40.5779               1.3288                .445                   551.0         .0            .0                  .0
649.0               34.4169               1.2815                .2089                  649.0         .0            .0                  .0
564.0               39.6248               1.3841                .3429                  564.0         .0            .0                  .0
561.0               39.3043               1.3591                .3709                  561.0         .0            .0                  .0
601.0               37.4834               1.2947                .3221                  601.0         .0            .0                  .0
567.0               40.2095               1.4599                .2598                  567.0         .0            .0                  .0
578.0               38.361                1.3487                .3309                  578.0         .0            .0                  .0
585.0               38.1485               1.3618                .3014                  585.0         .0            .0                  .0
589.0               38.7441               1.2661                .3861                  589.0         .0            .0                  .0
533.0               42.1367               1.4152                .4154                  533.0         .0            .0                  .0
628.0               33.7456               1.2399                .2959                  628.0         .0            .0                  .0
583.0               38.6199               1.3824                .2878                  583.0         .0            .0                  .0
604.0               36.395                1.3326                .275                   604.0         .0            .0                  .0
589.0               37.2322               1.3334                .3146                  589.0         .0            .0                  .0
561.0               38.3203               1.3908                .3492                  561.0         .0            .0                  .0
560.0               39.1426               1.4206                .3021                  560.0         .0            .0                  .0
