
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
148.0               2.9195                3.0381                1.2811                 149.0         .0            .0                  .0
196.0               7.0863                3.5845                1.462                  196.0         .0            .0                  .0
230.0               7.6234                3.258                 1.051                  230.0         .0            .0                  .0
243.0               7.2623                3.6285                .4769                  243.0         .0            .0                  .0
244.0               6.7388                3.736                 .3221                  244.0         .0            .0                  .0
249.0               7.108                 3.5186                .5161                  249.0         .0            .0                  .0
244.0               7.4286                3.5162                .5611                  244.0         .0            .0                  .0
243.0               7.2664                3.1877                .914                   243.0         .0            .0                  .0
244.0               6.9633                3.7704                .2616                  244.0         .0            .0                  .0
240.0               7.2241                3.5258                .6157                  240.0         .0            .0                  .0
234.0               7.4553                3.5489                .7326                  234.0         .0            .0                  .0
242.0               7.037                 3.5258                .5814                  242.0         .0            .0                  .0
246.0               6.9271                3.6156                .4243                  246.0         .0            .0                  .0
258.0               6.6178                3.1048                .7594                  258.0         .0            .0                  .0
246.0               6.4453                3.6474                .4286                  246.0         .0            .0                  .0
234.0               7.4809                3.6278                .6113                  234.0         .0            .0                  .0
246.0               7.3117                3.3442                .7236                  246.0         .0            .0                  .0
236.0               7.4051                3.7909                .4148                  236.0         .0            .0                  .0
242.0               7.177                 3.5197                .5966                  242.0         .0            .0                  .0
233.0               7.5641                3.9737                .3282                  233.0         .0            .0                  .0
225.0               7.4115                3.7873                .6477                  225.0         .0            .0                  .0
238.0               7.2427                3.5924                .5963                  238.0         .0            .0                  .0
242.0               6.9588                3.3613                .7508                  242.0         .0            .0                  .0
243.0               6.7213                3.3259                .7786                  243.0         .0            .0                  .0
249.0               6.764                 3.6273                .3695                  249.0         .0            .0                  .0
249.0               6.82                  3.2444                .7729                  249.0         .0            .0                  .0
241.0               7.3884                3.5775                .5514                  241.0         .0            .0                  .0
244.0               6.9429                3.5346                .5312                  244.0         .0            .0                  .0
251.0               7.0754                3.3523                .5829                  251.0         .0            .0                  .0
250.0               6.9283                3.6475                .3472                  250.0         .0            .0                  .0
242.0               7.1564                3.5112                .6079                  242.0         .0            .0                  .0
235.0               7.0847                3.656                 .5756                  235.0         .0            .0                  .0
251.0               7.1032                3.5686                .382                   251.0         .0            .0                  .0
247.0               7.1371                3.7309                .3099                  247.0         .0            .0                  .0
254.0               7.0                   3.394                 .5438                  254.0         .0            .0                  .0
235.0               7.2373                3.9715                .2784                  235.0         .0            .0                  .0
244.0               7.151                 3.0472                1.051                  244.0         .0            .0                  .0
241.0               7.2314                3.3207                .8228                  241.0         .0            .0                  .0
239.0               7.0458                3.7683                .4021                  239.0         .0            .0                  .0
242.0               7.3498                3.2221                .8979                  242.0         .0            .0                  .0
240.0               7.0705                3.3433                .8147                  240.0         .0            .0                  .0
245.0               7.0407                3.6001                .4426                  245.0         .0            .0                  .0
241.0               6.9504                3.2932                .8694                  241.0         .0            .0                  .0
261.0               6.8053                3.1647                .6489                  261.0         .0            .0                  .0
260.0               6.9157                3.1841                .6495                  260.0         .0            .0                  .0
241.0               7.0744                3.3486                .7768                  241.0         .0            .0                  .0
236.0               7.2827                3.5626                .6226                  236.0         .0            .0                  .0
256.0               6.8249                3.2942                .6036                  256.0         .0            .0                  .0
238.0               7.3782                3.904                 .2826                  237.0         .0            .0                  .0
248.0               7.2169                3.4046                .6191                  249.0         .0            .0                  .0
235.0               7.2966                3.23                  .9948                  235.0         .0            .0                  .0
239.0               6.9542                3.4194                .7321                  239.0         .0            .0                  .0
232.0               7.3863                3.7834                .5292                  232.0         .0            .0                  .0
246.0               7.3725                3.5726                .4636                  246.0         .0            .0                  .0
233.0               7.2564                3.8241                .4515                  233.0         .0            .0                  .0
236.0               7.3629                3.7342                .4953                  236.0         .0            .0                  .0
239.0               7.0833                3.6248                .5357                  239.0         .0            .0                  .0
234.0               7.3702                3.5912                .6648                  234.0         .0            .0                  .0
248.0               7.0884                3.5128                .4994                  248.0         .0            .0                  .0
243.0               7.0779                3.3434                .7742                  243.0         .0            .0                  .0
204.0               .5539                 2.8598                .3566                  203.0         .0            .0                  .0
5.0                 .6                    2.4896                -.3832                 5.0           .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
142.0               2.8531                3.1442                1.3602                 143.0         .0            .0                  .0
237.0               7.1891                2.8298                1.2988                 237.0         .0            .0                  .0
236.0               7.4051                3.2322                .9776                  236.0         .0            .0                  .0
246.0               7.0567                3.4207                .6104                  246.0         .0            .0                  .0
250.0               6.9124                3.441                 .5284                  250.0         .0            .0                  .0
257.0               7.2829                3.3799                .5147                  257.0         .0            .0                  .0
245.0               7.3618                3.4544                .6097                  245.0         .0            .0                  .0
237.0               7.1975                3.2258                .9792                  237.0         .0            .0                  .0
242.0               7.0288                3.7325                .3322                  242.0         .0            .0                  .0
236.0               7.2152                3.6642                .5529                  236.0         .0            .0                  .0
236.0               7.4388                3.596                 .6448                  236.0         .0            .0                  .0
242.0               7.0576                3.3838                .7349                  242.0         .0            .0                  .0
252.0               6.747                 3.7229                .2394                  252.0         .0            .0                  .0
267.0               6.75                  2.9879                .7213                  267.0         .0            .0                  .0
261.0               6.5763                3.5024                .3348                  261.0         .0            .0                  .0
250.0               7.5976                3.4969                .4793                  250.0         .0            .0                  .0
248.0               7.2289                3.2203                .8079                  248.0         .0            .0                  .0
238.0               7.5188                3.6334                .5348                  238.0         .0            .0                  .0
242.0               7.0658                3.4925                .6077                  242.0         .0            .0                  .0
240.0               7.6473                3.9051                .2785                  240.0         .0            .0                  .0
246.0               7.4656                3.4451                .604                   246.0         .0            .0                  .0
248.0               7.3936                3.3492                .6775                  248.0         .0            .0                  .0
246.0               6.915                 3.3008                .7396                  246.0         .0            .0                  .0
259.0               6.8                   3.1289                .7288                  259.0         .0            .0                  .0
246.0               6.8543                3.5085                .5412                  246.0         .0            .0                  .0
259.0               6.9115                3.0837                1.5533                 260.0         .0            .0                  .0
240.0               7.0166                3.6947                .4522                  239.0         .0            .0                  .0
256.0               7.07                  3.2519                .6285                  256.0         .0            .0                  .0
249.0               6.908                 3.4528                .526                   249.0         .0            .0                  .0
250.0               6.9602                3.5716                .3828                  250.0         .0            .0                  .0
247.0               7.2177                3.4478                .5836                  247.0         .0            .0                  .0
254.0               7.1961                3.3225                .5996                  254.0         .0            .0                  .0
255.0               7.1445                3.5109                .3737                  255.0         .0            .0                  .0
240.0               7.0124                3.4987                .6548                  240.0         .0            .0                  .0
249.0               7.064                 3.356                 .6445                  249.0         .0            .0                  .0
243.0               7.3279                3.818                 .297                   243.0         .0            .0                  .0
254.0               7.0471                2.8892                1.0405                 254.0         .0            .0                  .0
246.0               7.0567                3.3592                .7034                  246.0         .0            .0                  .0
242.0               7.251                 3.7016                .4125                  242.0         .0            .0                  .0
245.0               7.2439                3.2808                .7803                  245.0         .0            .0                  .0
252.0               7.415                 3.115                 .8467                  252.0         .0            .0                  .0
255.0               7.0469                3.4347                .4607                  255.0         .0            .0                  .0
246.0               7.0445                3.1831                .9003                  246.0         .0            .0                  .0
252.0               6.8854                3.1705                .7872                  252.0         .0            .0                  .0
255.0               6.875                 3.0829                .8299                  255.0         .0            .0                  .0
250.0               7.1235                3.0822                .9033                  250.0         .0            .0                  .0
233.0               7.3547                3.5219                .7168                  233.0         .0            .0                  .0
256.0               6.821                 3.3181                .5687                  256.0         .0            .0                  .0
242.0               7.2058                3.7292                .3868                  242.0         .0            .0                  .0
251.0               7.0992                3.4316                .5207                  251.0         .0            .0                  .0
236.0               7.4768                3.2012                1.0144                 236.0         .0            .0                  .0
247.0               7.1048                3.3998                .6373                  247.0         .0            .0                  .0
242.0               7.2469                3.5271                .5807                  242.0         .0            .0                  .0
248.0               7.498                 3.4545                .5469                  248.0         .0            .0                  .0
238.0               7.3054                3.6394                .5452                  238.0         .0            .0                  .0
240.0               7.2125                3.6309                .5276                  240.0         .0            .0                  .0
247.0               7.0927                3.4522                .5783                  247.0         .0            .0                  .0
242.0               7.3457                3.2735                .8252                  242.0         .0            .0                  .0
254.0               6.9333                3.2794                .6339                  254.0         .0            .0                  .0
252.0               7.2451                3.2113                .751                   252.0         .0            .0                  .0
214.0               .6308                 2.654                 .5091                  213.0         .0            .0                  .0
3.0                 .0                    .9233                 .0386                  3.0           .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 2
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
145.0               3.1027                3.6516                .9144                  146.0         .0            .0                  .0
193.0               7.0155                3.9514                1.1957                 193.0         .0            .0                  .0
230.0               7.3377                3.5068                .8221                  230.0         .0            .0                  .0
233.0               6.9786                3.7052                .5639                  233.0         .0            .0                  .0
248.0               6.8635                3.5926                .4029                  248.0         .0            .0                  .0
244.0               7.0776                3.5731                .519                   244.0         .0            .0                  .0
236.0               7.2447                3.5438                .6956                  236.0         .0            .0                  .0
245.0               7.3415                3.1486                .901                   245.0         .0            .0                  .0
238.0               7.1464                3.5973                .5567                  238.0         .0            .0                  .0
241.0               7.1488                3.4907                .6395                  241.0         .0            .0                  .0
236.0               7.27                  3.5879                .6457                  236.0         .0            .0                  .0
242.0               6.9959                3.3116                .804                   242.0         .0            .0                  .0
247.0               6.8387                3.6455                .3913                  247.0         .0            .0                  .0
261.0               6.6031                3.0488                .7423                  261.0         .0            .0                  .0
251.0               6.4722                3.5383                .4192                  251.0         .0            .0                  .0
231.0               7.4009                3.6278                .6613                  231.0         .0            .0                  .0
236.0               7.0                   3.5964                .6422                  236.0         .0            .0                  .0
234.0               7.1574                3.7911                .4481                  234.0         .0            .0                  .0
246.0               7.2955                3.4619                .5757                  246.0         .0            .0                  .0
232.0               7.6652                3.9743                .3478                  232.0         .0            .0                  .0
238.0               7.1339                3.6068                .5858                  238.0         .0            .0                  .0
231.0               7.1767                3.6022                .7189                  231.0         .0            .0                  .0
241.0               7.0372                3.3242                .8046                  241.0         .0            .0                  .0
251.0               6.9325                3.2229                .7473                  251.0         .0            .0                  .0
248.0               6.8956                3.5179                .5027                  248.0         .0            .0                  .0
250.0               7.012                 3.1596                .8292                  250.0         .0            .0                  .0
244.0               7.2204                1.7897                2.2936                 244.0         .0            .0                  .0
241.0               7.1529                3.4088                .7311                  241.0         .0            .0                  .0
251.0               6.9643                3.2962                .6448                  251.0         .0            .0                  .0
248.0               6.8876                3.6034                .416                   248.0         .0            .0                  .0
247.0               7.2258                3.3518                .691                   247.0         .0            .0                  .0
242.0               7.2922                3.2669                .8439                  242.0         .0            .0                  .0
244.0               7.0082                3.7695                .3067                  244.0         .0            .0                  .0
245.0               7.0488                3.5224                .5454                  245.0         .0            .0                  .0
254.0               6.9569                3.3592                .5647                  254.0         .0            .0                  .0
238.0               7.1799                3.9319                .2629                  238.0         .0            .0                  .0
244.0               7.098                 2.9068                1.1888                 244.0         .0            .0                  .0
246.0               7.1255                3.5463                .516                   246.0         .0            .0                  .0
241.0               7.2149                3.7549                .3832                  241.0         .0            .0                  .0
234.0               7.2085                3.5093                .7431                  234.0         .0            .0                  .0
242.0               7.1893                3.2637                .8502                  242.0         .0            .0                  .0
249.0               6.984                 3.5472                .4356                  249.0         .0            .0                  .0
242.0               7.1317                3.2739                8.1585                 243.0         .0            .0                  .0
249.0               6.928                 3.3316                .6699                  248.0         .0            .0                  .0
259.0               6.8538                3.137                 .7066                  259.0         .0            .0                  .0
236.0               7.0422                3.3611                .858                   236.0         .0            .0                  .0
240.0               7.4232                3.5531                .5689                  240.0         .0            .0                  .0
257.0               6.8295                3.2703                .6153                  257.0         .0            .0                  .0
236.0               7.3136                3.6377                .5835                  235.0         .0            .0                  .0
244.0               7.3633                3.5046                .5756                  245.0         .0            .0                  .0
240.0               7.4523                3.2299                .9239                  240.0         .0            .0                  .0
248.0               6.9237                3.2954                .714                   248.0         .0            .0                  .0
240.0               7.473                 3.6642                .4854                  240.0         .0            .0                  .0
234.0               7.2936                3.8411                .4076                  234.0         .0            .0                  .0
238.0               7.2385                3.7047                .4866                  238.0         .0            .0                  .0
243.0               7.2172                3.5586                .5453                  243.0         .0            .0                  .0
251.0               7.0437                3.4438                .5211                  251.0         .0            .0                  .0
232.0               7.1588                3.6273                .6668                  232.0         .0            .0                  .0
247.0               7.0887                3.5121                .5043                  247.0         .0            .0                  .0
245.0               7.313                 3.2412                .8448                  245.0         .0            .0                  .0
183.0               .5956                 2.9294                .5482                  182.0         .0            .0                  .0
1.0                 2.0                   2.7019                .0485                  1.0           .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 3
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
147.0               3.1284                3.3615                1.0056                 148.0         .0            .0                  .0
232.0               7.4421                3.3892                .8682                  232.0         .0            .0                  .0
236.0               7.3755                3.3514                .8671                  236.0         .0            .0                  .0
236.0               7.2743                3.6173                .5831                  236.0         .0            .0                  .0
259.0               6.7269                3.4317                .3995                  259.0         .0            .0                  .0
257.0               7.0736                3.3668                .5366                  257.0         .0            .0                  .0
249.0               7.34                  3.4609                .5361                  249.0         .0            .0                  .0
251.0               7.4206                3.0582                .89                    251.0         .0            .0                  .0
