Middleware2/12_02_2018_20:55:56E61WOMidd2_2Midd_1Server_T32_C32_try1.log

Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
114.0               6.6609                5.4041                .1264                  115.0         .0            .0                  .0
198.0               7.8844                4.9255                .0271                  198.0         .0            .0                  .0
191.0               8.5                   5.1749                .0226                  191.0         .0            .0                  .0
193.0               9.5567                5.1028                .0276                  193.0         .0            .0                  .0
203.0               8.701                 4.8438                .0255                  203.0         .0            .0                  .0
198.0               9.2111                4.9821                .0258                  198.0         .0            .0                  .0
201.0               9.005                 4.9004                .0279                  201.0         .0            .0                  .0
197.0               8.8687                4.9791                .0268                  197.0         .0            .0                  .0
196.0               8.8832                4.9776                .0234                  196.0         .0            .0                  .0
201.0               9.0446                4.9367                .0228                  201.0         .0            .0                  .0
199.0               9.155                 4.9192                .0216                  199.0         .0            .0                  .0
204.0               8.4829                4.868                 .0202                  204.0         .0            .0                  .0
208.0               8.6172                4.7209                .0203                  208.0         .0            .0                  .0
199.0               8.79                  4.9469                .0213                  199.0         .0            .0                  .0
207.0               8.4808                4.7666                .0231                  207.0         .0            .0                  .0
195.0               9.0204                5.0602                .0228                  195.0         .0            .0                  .0
202.0               8.4877                4.8816                .0204                  202.0         .0            .0                  .0
206.0               8.3623                4.7734                .0206                  206.0         .0            .0                  .0
199.0               9.125                 4.9557                .0236                  199.0         .0            .0                  .0
201.0               9.0                   4.9086                .0239                  201.0         .0            .0                  .0
190.0               9.3246                5.1488                .0219                  190.0         .0            .0                  .0
205.0               8.6893                4.823                 .0202                  205.0         .0            .0                  .0
200.0               8.8955                4.9618                .0219                  200.0         .0            .0                  .0
207.0               8.7596                4.7654                .0198                  207.0         .0            .0                  .0
196.0               8.7665                5.0223                .0231                  196.0         .0            .0                  .0
191.0               9.099                 5.15                  .0203                  191.0         .0            .0                  .0
207.0               8.7308                4.7592                .0416                  207.0         .0            .0                  .0
199.0               8.61                  4.9324                .0209                  199.0         .0            .0                  .0
200.0               8.8259                4.9385                .0239                  200.0         .0            .0                  .0
210.0               8.4313                4.7035                .0216                  210.0         .0            .0                  .0
198.0               8.9899                4.9703                .0251                  198.0         .0            .0                  .0
191.0               9.2031                5.1593                .0233                  191.0         .0            .0                  .0
203.0               8.7108                4.8613                .0219                  203.0         .0            .0                  .0
203.0               8.6863                4.8075                .0318                  203.0         .0            .0                  .0
188.0               9.1058                5.2701                .0254                  188.0         .0            .0                  .0
204.0               8.5171                4.8093                .019                   204.0         .0            .0                  .0
199.0               9.045                 5.0051                .0201                  199.0         .0            .0                  .0
195.0               9.301                 5.0662                .0203                  195.0         .0            .0                  .0
207.0               8.5625                4.7538                .0215                  207.0         .0            .0                  .0
205.0               8.699                 4.8144                .0193                  205.0         .0            .0                  .0
204.0               8.6439                4.8454                .0223                  204.0         .0            .0                  .0
201.0               8.7079                4.9056                .0194                  201.0         .0            .0                  .0
203.0               8.8137                4.8555                .0239                  203.0         .0            .0                  .0
197.0               9.1414                4.9767                .0188                  197.0         .0            .0                  .0
204.0               8.6341                4.8636                .0219                  204.0         .0            .0                  .0
202.0               8.8374                4.8676                .02                    202.0         .0            .0                  .0
194.0               9.359                 5.0954                .0221                  194.0         .0            .0                  .0
198.0               8.7136                4.9827                .0188                  198.0         .0            .0                  .0
207.0               8.4231                4.7417                .0241                  207.0         .0            .0                  .0
203.0               8.598                 4.8523                .0195                  203.0         .0            .0                  .0
214.0               8.2744                4.6183                .02                    214.0         .0            .0                  .0
207.0               8.9615                4.7437                .0205                  207.0         .0            .0                  .0
204.0               8.8634                4.8744                .02                    204.0         .0            .0                  .0
214.0               8.307                 4.6063                .0188                  214.0         .0            .0                  .0
206.0               8.599                 4.7706                .021                   206.0         .0            .0                  .0
198.0               8.7035                4.9795                .0194                  198.0         .0            .0                  .0
209.0               8.5476                4.727                 .0201                  209.0         .0            .0                  .0
212.0               8.446                 4.6241                .0199                  212.0         .0            .0                  .0
207.0               8.8462                4.7501                .0193                  207.0         .0            .0                  .0
211.0               8.2264                4.6811                .0195                  211.0         .0            .0                  .0
73.0                2.2466                3.6502                .0196                  72.0          .0            .0                  .0
Server 0, get requests: 0

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
121.0               6.6639                4.7139                .2751                  122.0         .0            .0                  .0
186.0               7.8235                5.2058                .0292                  186.0         .0            .0                  .0
212.0               8.338                 4.6495                .0213                  212.0         .0            .0                  .0
187.0               9.4468                5.2544                .0299                  187.0         .0            .0                  .0
207.0               8.8125                4.7629                .0228                  207.0         .0            .0                  .0
196.0               8.9797                5.0035                2.7773                 196.0         .0            .0                  .0
197.0               9.1015                5.0107                .0371                  197.0         .0            .0                  .0
195.0               8.9388                4.9858                .0538                  195.0         .0            .0                  .0
202.0               8.9852                4.9214                .0248                  202.0         .0            .0                  .0
202.0               9.0394                4.8743                .0228                  202.0         .0            .0                  .0
196.0               8.9949                4.9972                .0228                  196.0         .0            .0                  .0
209.0               8.6286                4.7464                .0241                  209.0         .0            .0                  .0
